space_name,space_id,area(m²),py(평),height(m),Volume,vox_amount,sun_acc,ent_acc,str_acc,ung_pre,dist_façade,top_pre,Lobby,Branding Space,External Contact,Interview Room,Personal Workspace,Work Support Area,Personal Locker Room,Executive Space,VIP Reception,Secretary Room,Pantry,Executive Meeting,Executive Offices,Focus Rooms,Project Rooms,Conference Rooms,4-Person Meeting,6-Person Meeting,8-Person Meeting,12-Person Meeting,18-Person Meeting,Idea Room,Mail Room,Oasis,PT Practice Room,Screening Room,Studio,Video Editing,Plotter/Board Room,Training Room,Ino Kitchen,Kitchen,Ino Cafe,Fitness Facilities,Dressing/Shower,Counseling Room,Personal Rest Room,Sleeping Room,Nursing Room,Work Lounge,Town Hall,Seminar Room,Library,Social Space,Outdoor Terrace,Driver's Waiting,Server Room,Cleaning Staff Room,Security Staff Room,Security Office,Facility Team Room
Fitness Facilities,33,150.0,45.45454545454546,3.0,450.0,150.0,0.8,0.2,0.2,0.9,0.6,0.1,0.1,0.1,0.1,0.9,0.8,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.5,1.0,0.1,1.0,1.0,1.0,0.6,0.9,0.8,0.1,0.1,0.1,0.8,0.1,0.6,0.1,0.1,0.3,0.3,0.3,0.3
Dressing/Shower,34,50.0,15.151515151515152,3.0,150.0,50.0,0.2,0.2,0.2,0.9,0.9,0.1,0.1,0.1,0.1,0.3,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.3,0.1,1.0,1.0,1.0,0.6,1.0,0.8,0.1,0.7,0.1,0.1,0.1,0.6,0.1,0.1,0.1,0.3,0.3,0.3,0.3
Counseling Room,35,20.0,6.0606060606060606,3.0,60.0,20.0,0.5,0.2,0.2,0.1,0.5,0.1,0.1,0.1,0.1,0.3,0.3,0.7,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.4,0.5,1.0,1.0,0.6,1.0,0.3,1.0,0.7,0.9,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.3,0.3,0.3
Personal Rest Room,36,20.0,6.0606060606060606,3.0,60.0,20.0,0.2,0.1,0.1,0.6,0.5,0.1,0.1,0.1,0.1,0.3,0.7,0.5,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.4,0.8,0.6,0.4,0.6,1.0,0.3,1.0,0.6,1.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.3,0.3,0.3
Sleeping Room,37,40.0,12.121212121212121,3.0,120.0,40.0,0.2,0.1,0.1,0.8,0.5,0.1,0.1,0.1,0.1,0.6,0.5,0.5,0.6,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.8,0.5,0.3,0.6,0.9,0.8,1.0,0.6,1.0,0.1,1.0,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.3,0.3,0.3,0.3
Nursing Room,38,20.0,6.0606060606060606,3.0,60.0,20.0,0.4,0.1,0.1,0.6,0.5,0.1,0.1,0.1,0.1,0.3,0.3,0.6,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.8,0.1,0.7,1.0,0.1,1.0,0.1,1.0,0.1,0.5,0.6,0.1,0.1,0.1,0.3,0.3,0.3,0.3
Work Lounge,39,300.0,90.90909090909092,3.0,900.0,300.0,0.3,0.1,0.1,0.2,0.5,0.1,0.1,0.1,0.1,0.1,0.7,0.3,0.6,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.3,0.6,0.1,0.7,0.9,0.1,1.0,0.1,1.0,0.1,1.0,0.7,0.6,0.1,0.1,0.1,0.3,0.3,0.3,0.3
Town Hall,40,200.0,60.60606060606061,3.0,600.0,200.0,0.3,0.1,0.1,0.1,0.2,0.4,0.7,0.7,0.1,0.7,0.3,0.6,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.3,0.6,0.5,0.1,0.1,0.1,0.1,0.1,1.0,0.1,1.0,0.7,1.0,0.6,0.1,0.1,0.1,0.3,0.3,0.3,0.3
Seminar Room,41,200.0,60.60606060606061,3.0,600.0,200.0,0.3,0.1,0.1,0.1,0.1,0.3,0.7,0.1,0.1,0.3,0.4,0.4,0.4,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.6,0.5,0.1,0.1,0.1,0.1,0.3,0.3,0.5,0.3,0.1,0.1,0.1,0.1,0.1,0.1,1.0,0.7,1.0,0.6,1.0,0.6,0.1,0.1,0.3,0.3,0.3,0.1
Library,42,100.0,30.303030303030305,3.0,300.0,100.0,0.5,0.1,0.1,0.1,0.1,0.2,0.5,0.6,0.1,0.4,0.6,0.6,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.6,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.3,0.8,0.1,0.1,0.1,0.1,0.5,0.7,1.0,0.6,1.0,0.6,1.0,0.9,0.1,0.3,0.3,0.1,0.1
Social Space,43,150.0,45.45454545454546,3.0,450.0,150.0,0.6,0.2,0.1,0.1,0.1,0.2,0.6,0.1,0.1,0.6,0.6,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.6,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.3,0.8,0.1,0.6,0.1,0.1,0.3,0.6,0.6,0.6,1.0,0.6,1.0,0.9,1.0,0.1,0.3,0.3,0.1,0.1
Outdoor Terrace,44,100.0,30.303030303030305,3.0,300.0,100.0,1.0,0.2,0.1,0.1,0.1,1.0,0.1,0.1,0.1,0.5,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.6,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.6,1.0,0.9,1.0,0.1,1.0,0.3,0.8,0.1,0.1
Driver's Waiting,45,20.0,6.0606060606060606,3.0,60.0,20.0,0.2,0.3,1.0,0.5,0.6,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.9,1.0,0.1,1.0,0.1,1.0,0.1,0.8,0.8
Server Room,46,30.0,9.090909090909092,3.0,90.0,30.0,0.2,0.2,0.1,0.6,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.8,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.1,0.1,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.0,0.1,1.0,0.1,1.0,0.8,0.8
Cleaning Staff Room,47,50.0,15.151515151515152,3.0,150.0,50.0,0.2,0.2,0.1,0.8,0.5,0.1,0.3,0.3,0.3,0.3,0.8,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.5,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,1.0,0.1,1.0,0.1,1.0,1.0
Security Staff Room,48,30.0,9.090909090909092,3.0,90.0,30.0,0.2,0.1,0.1,0.8,0.5,0.1,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.8,0.1,1.0,0.1,1.0,1.0,1.0
Security Office,49,40.0,12.121212121212121,3.0,120.0,40.0,0.2,0.1,0.1,0.5,0.1,0.1,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.1,0.1,0.1,0.8,0.8,1.0,1.0,1.0,1.0
Facility Team Room,50,50.0,15.151515151515152,3.0,150.0,50.0,0.2,0.1,0.1,0.8,0.1,0.1,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.1,0.1,0.1,0.1,0.8,0.8,1.0,1.0,1.0,1.0
