minbound,shape,unit
-55500,38,1500
-7500,24,1500
0,24,3000

IX,IY,IZ,value
1,13,0,0.554155
1,13,1,0.572407
1,13,2,0.587019
1,13,3,0.597593
1,13,4,0
1,13,5,0.605454
1,13,6,0.602478
1,13,7,0.59498
1,13,8,0.583204
1,13,9,0.567501
1,13,10,0.548278
1,13,11,0.525965
1,13,12,0.500975
1,13,13,0.47369
1,13,14,0.444447
1,13,15,0.41354
1,13,16,0.381218
1,13,17,0.347691
1,13,18,0.313135
1,13,19,0.277699
1,13,20,0.241505
1,13,21,0.204657
1,13,22,0
1,13,23,0
1,14,0,0.535238
1,14,1,0.552718
1,14,2,0.566665
1,14,3,0.57673
1,14,4,0
1,14,5,0.584197
1,14,6,0.581371
1,14,7,0.574245
1,14,8,0.563028
1,14,9,0.548025
1,14,10,0.529598
1,14,11,0.508131
1,14,12,0.484004
1,14,13,0.457572
1,14,14,0.429155
1,14,15,0.399033
1,14,16,0.367452
1,14,17,0.334618
1,14,18,0.300708
1,14,19,0.265872
1,14,20,0.230234
1,14,21,0.193901
1,14,22,0
1,14,23,0
1,15,0,0.516115
1,15,1,0.532879
1,15,2,0.546216
1,15,3,0.555818
1,15,4,0
1,15,5,0.562926
1,15,6,0.560238
1,15,7,0.553449
1,15,8,0.542742
1,15,9,0.528383
1,15,10,0.510695
1,15,11,0.490024
1,15,12,0.466715
1,15,13,0.4411
1,15,14,0.41348
1,15,15,0.384125
1,15,16,0.353272
1,15,17,0.321123
1,15,18,0.287856
1,15,19,0.253619
1,15,20,0.218539
1,15,21,0.182726
1,15,22,0
1,15,23,0
1,16,0,0.49681
1,16,1,0.512909
1,16,2,0.525684
1,16,3,0.534861
1,16,4,0
1,16,5,0.541645
1,16,6,0.539081
1,16,7,0.532599
1,16,8,0.522359
1,16,9,0.508596
1,16,10,0.491596
1,16,11,0.471671
1,16,12,0.449139
1,16,13,0.424305
1,16,14,0.397454
1,16,15,0.368844
1,16,16,0.338703
1,16,17,0.307231
1,16,18,0.2746
1,16,19,0.24096
1,16,20,0.20644
1,16,21,0.17115
1,16,22,0
1,16,23,0
1,17,0,0.477343
1,17,1,0.492823
1,17,2,0.505079
1,17,3,0.513868
1,17,4,0
1,17,5,0.520355
1,17,6,0.517903
1,17,7,0.511702
1,17,8,0.501892
1,17,9,0.488679
1,17,10,0.472321
1,17,11,0.453098
1,17,12,0.431301
1,17,13,0.407214
1,17,14,0.381104
1,17,15,0.353217
1,17,16,0.323772
1,17,17,0.292964
1,17,18,0.260963
1,17,19,0.227917
1,17,20,0.193956
1,17,21,0.159189
1,17,22,0
1,17,23,0
1,18,0,0.45773
1,18,1,0.472634
1,18,2,0.484411
1,18,3,0.492841
1,18,4,0
1,18,5,0.499055
1,18,6,0.496708
1,18,7,0.490765
1,18,8,0.48135
1,18,9,0.468649
1,18,10,0.452888
1,18,11,0.434325
1,18,12,0.413225
1,18,13,0.389852
1,18,14,0.364455
1,18,15,0.337268
1,18,16,0.308502
1,18,17,0.278345
1,18,18,0.246965
1,18,19,0.214508
1,18,20,0.181103
1,18,21,0.14686
1,18,22,0
1,18,23,0
1,19,0,0.437988
1,19,1,0.452355
1,19,2,0.463686
1,19,3,0.471785
1,19,4,0
1,19,5,0.477749
1,19,6,0.475497
1,19,7,0.469792
1,19,8,0.461041
1,19,9,0.449485
1,19,10,0.434919
1,19,11,0.417569
1,19,12,0.397675
1,19,13,0.37548
1,19,14,0.351221
1,19,15,0.32512
1,19,16,0.297382
1,19,17,0.268193
1,19,18,0.23772
1,19,19,0.206112
1,19,20,0.173497
1,19,21,0.139991
1,19,22,0
1,19,23,0
1,20,0,0.432816
1,20,1,0.447724
1,20,2,0.459649
1,20,3,0.468389
1,20,4,0
1,20,5,0
1,20,6,0
1,20,7,0
1,20,8,0
1,20,9,0
1,20,10,0
1,20,11,0
1,20,12,0
1,20,13,0
1,20,14,0
1,20,15,0
1,20,16,0
1,20,17,0
1,20,18,0
1,20,19,0
1,20,20,0
1,20,21,0
1,20,22,0
1,20,23,0
1,21,0,0.431847
1,21,1,0.446729
1,21,2,0.458632
1,21,3,0.467356
1,21,4,0
1,21,5,0
1,21,6,0
1,21,7,0
1,21,8,0
1,21,9,0
1,21,10,0
1,21,11,0
1,21,12,0
1,21,13,0
1,21,14,0
1,21,15,0
1,21,16,0
1,21,17,0
1,21,18,0
1,21,19,0
1,21,20,0
1,21,21,0
1,21,22,0
1,21,23,0
1,22,0,0.430077
1,22,1,0.444911
1,22,2,0.456774
1,22,3,0.465467
1,22,4,0
1,22,5,0
1,22,6,0
1,22,7,0
1,22,8,0
1,22,9,0
1,22,10,0
1,22,11,0
1,22,12,0
1,22,13,0
1,22,14,0
1,22,15,0
1,22,16,0
1,22,17,0
1,22,18,0
1,22,19,0
1,22,20,0
1,22,21,0
1,22,22,0
1,22,23,0
1,23,0,0
1,23,1,0
1,23,2,0
1,23,3,0
1,23,4,0
1,23,5,0
1,23,6,0
1,23,7,0
1,23,8,0
1,23,9,0
1,23,10,0
1,23,11,0
1,23,12,0
1,23,13,0
1,23,14,0
1,23,15,0
1,23,16,0
1,23,17,0
1,23,18,0
1,23,19,0
1,23,20,0
1,23,21,0
1,23,22,0
1,23,23,0
2,0,0,0
2,0,1,0
2,0,2,0
2,0,3,0
2,0,4,0
2,0,5,0
2,0,6,0
2,0,7,0
2,0,8,0
2,0,9,0
2,0,10,0
2,0,11,0
2,0,12,0
2,0,13,0
2,0,14,0
2,0,15,0
2,0,16,0
2,0,17,0
2,0,18,0
2,0,19,0
2,0,20,0
2,0,21,0
2,0,22,0
2,0,23,0
2,1,0,0.743497
2,1,1,0.776725
2,1,2,0.806171
2,1,3,0.829861
2,1,4,0
2,1,5,0
2,1,6,0
2,1,7,0
2,1,8,0
2,1,9,0
2,1,10,0
2,1,11,0
2,1,12,0
2,1,13,0
2,1,14,0
2,1,15,0
2,1,16,0
2,1,17,0
2,1,18,0
2,1,19,0
2,1,20,0
2,1,21,0
2,1,22,0
2,1,23,0
2,2,0,0.731598
2,2,1,0.76315
2,2,2,0.790678
2,2,3,0.8124
2,2,4,0
2,2,5,0
2,2,6,0
2,2,7,0
2,2,8,0
2,2,9,0
2,2,10,0
2,2,11,0
2,2,12,0
2,2,13,0
2,2,14,0
2,2,15,0
2,2,16,0
2,2,17,0
2,2,18,0
2,2,19,0
2,2,20,0
2,2,21,0
2,2,22,0
2,2,23,0
2,3,0,0.718573
2,3,1,0.748487
2,3,2,0.774219
2,3,3,0.794197
2,3,4,0
2,3,5,0
2,3,6,0
2,3,7,0
2,3,8,0
2,3,9,0
2,3,10,0
2,3,11,0
2,3,12,0
2,3,13,0
2,3,14,0
2,3,15,0
2,3,16,0
2,3,17,0
2,3,18,0
2,3,19,0
2,3,20,0
2,3,21,0
